win,lose,probability
Cleveland Cavaliers,New York Knicks,0.8854968442011042
Golden State Warriors,San Antonio Spurs,0.5296934708069153
Portland Trail Blazers,Utah Jazz,0.6981397461455232
Boston Celtics,Brooklyn Nets,0.8962688036827172
Indiana Pacers,Dallas Mavericks,0.5911342654497999
Houston Rockets,Los Angeles Lakers,0.808930581966209
Memphis Grizzlies,Minnesota Timberwolves,0.6186870912833841
Charlotte Hornets,Milwaukee Bucks,0.7415852297666594
New Orleans Pelicans,Denver Nuggets,0.5278019988132452
Miami Heat,Orlando Magic,0.6902116751011023
Oklahoma City Thunder,Philadelphia 76ers,0.9561442227832617
Sacramento Kings,Phoenix Suns,0.5935736387810158
Toronto Raptors,Detroit Pistons,0.6939573772631331
Atlanta Hawks,Washington Wizards,0.6446944820849028
Boston Celtics,Chicago Bulls,0.6275279760202537
Portland Trail Blazers,Los Angeles Clippers,0.5438437941639538
San Antonio Spurs,Sacramento Kings,0.8925429710978546
Indiana Pacers,Brooklyn Nets,0.8181088549505923
Dallas Mavericks,Houston Rockets,0.5057138016204084
Detroit Pistons,Orlando Magic,0.6658751568076237
Charlotte Hornets,Miami Heat,0.5020488815336577
Golden State Warriors,New Orleans Pelicans,0.9305508312383811
Oklahoma City Thunder,Phoenix Suns,0.9250500072774197
Cleveland Cavaliers,Toronto Raptors,0.6458312788773932
Utah Jazz,Los Angeles Lakers,0.8626594804189224
Indiana Pacers,Chicago Bulls,0.5823838318494066
Charlotte Hornets,Boston Celtics,0.513237298424879
Cleveland Cavaliers,Orlando Magic,0.8518982150954049
Portland Trail Blazers,Denver Nuggets,0.681519809895744
Milwaukee Bucks,Brooklyn Nets,0.7375960336987739
Memphis Grizzlies,New York Knicks,0.5305175139758171
Atlanta Hawks,Philadelphia 76ers,0.9051294676867474
Sacramento Kings,Minnesota Timberwolves,0.5806182584135342
San Antonio Spurs,New Orleans Pelicans,0.9245868487955559
Detroit Pistons,Milwaukee Bucks,0.7294452108040244
Houston Rockets,Dallas Mavericks,0.5397562793159416
Los Angeles Clippers,Utah Jazz,0.6608569216258658
Washington Wizards,Memphis Grizzlies,0.5451002675632131
San Antonio Spurs,Miami Heat,0.7802162324359783
Oklahoma City Thunder,Los Angeles Lakers,0.9478613998754521
Golden State Warriors,Phoenix Suns,0.9528160957852834
Atlanta Hawks,Sacramento Kings,0.7638171238204307
Chicago Bulls,Brooklyn Nets,0.7513294499270727
Los Angeles Clippers,Phoenix Suns,0.8877346322719544
Toronto Raptors,Denver Nuggets,0.8296920380831653
Cleveland Cavaliers,Houston Rockets,0.7696248614333934
Detroit Pistons,New York Knicks,0.7282113785676753
Indiana Pacers,Los Angeles Lakers,0.8877589165112243
Miami Heat,Sacramento Kings,0.748084093429697
Memphis Grizzlies,Minnesota Timberwolves,0.5204990752153843
New Orleans Pelicans,Milwaukee Bucks,0.5506214874472323
Orlando Magic,Philadelphia 76ers,0.7806782004510361
Golden State Warriors,Portland Trail Blazers,0.7500931334563268
San Antonio Spurs,Utah Jazz,0.8218039868913275
Atlanta Hawks,Los Angeles Lakers,0.9065859279298902
Boston Celtics,Chicago Bulls,0.6556214202978473
Detroit Pistons,Brooklyn Nets,0.7805896152298301
Charlotte Hornets,Philadelphia 76ers,0.9440462177752403
Oklahoma City Thunder,Los Angeles Clippers,0.6426045583313946
Memphis Grizzlies,New Orleans Pelicans,0.6650167987704446
Houston Rockets,New York Knicks,0.6489785086199507
Portland Trail Blazers,Phoenix Suns,0.7911011345381417
Utah Jazz,Dallas Mavericks,0.5344856287781231
Toronto Raptors,Washington Wizards,0.7059355915081473
Cleveland Cavaliers,Boston Celtics,0.6838732616403089
Golden State Warriors,Oklahoma City Thunder,0.6298124793423354
Indiana Pacers,Milwaukee Bucks,0.7061910517184091
Minnesota Timberwolves,Denver Nuggets,0.5447210494346707
Orlando Magic,Sacramento Kings,0.5844659190115878
Charlotte Hornets,Brooklyn Nets,0.8430177236654619
Chicago Bulls,New York Knicks,0.6796776438593831
Portland Trail Blazers,Dallas Mavericks,0.5636819512437172
Golden State Warriors,Los Angeles Lakers,0.9675744204887913
Los Angeles Clippers,Memphis Grizzlies,0.7220481618758343
New Orleans Pelicans,Phoenix Suns,0.6776678496853069
Toronto Raptors,Miami Heat,0.5893573848720302
San Antonio Spurs,Utah Jazz,0.8343411972883286
Atlanta Hawks,Washington Wizards,0.5994256870321761
Atlanta Hawks,Houston Rockets,0.6224310984296608
Detroit Pistons,Denver Nuggets,0.7109393058706727
Indiana Pacers,Chicago Bulls,0.6100811693729628
Milwaukee Bucks,Sacramento Kings,0.5105962816164119
Oklahoma City Thunder,Minnesota Timberwolves,0.8685649389579182
Washington Wizards,Orlando Magic,0.5589223587729318
Cleveland Cavaliers,Philadelphia 76ers,0.9624378002265735
San Antonio Spurs,Los Angeles Clippers,0.7039104916442849
Boston Celtics,Denver Nuggets,0.7764698788898122
Dallas Mavericks,Milwaukee Bucks,0.704423371730293
Phoenix Suns,Los Angeles Lakers,0.5143931233259964
Portland Trail Blazers,Memphis Grizzlies,0.6354770108202661
Utah Jazz,New York Knicks,0.6524342273968713
Toronto Raptors,Sacramento Kings,0.8181037063665144
Chicago Bulls,Orlando Magic,0.612138809938416
